source,target,weight,synapse_count
11368,192299,9,9
11392,10854,9,9
11400,154133,9,9
11404,10186,9,9
11404,11336,9,9
11404,15798,9,9
11415,10354,9,9
11416,12049,9,9
11416,14168,9,9
11420,13477,9,9
11420,14649,9,9
11420,20667,9,9
11420,27982,9,9
11422,13904,9,9
11423,21560,9,9
11425,11011,9,9
11425,15129,9,9
11442,13124,9,9
11442,14361,9,9
11471,18553,9,9
11471,21189,9,9
11472,12891,9,9
11489,10461,9,9
11503,18411,9,9
11506,10722,9,9
11506,10793,9,9
11506,11653,9,9
11506,13081,9,9
11506,17970,9,9
11506,24050,9,9
11511,19697,9,9
11514,18666,9,9
11532,23878,9,9
11550,10184,9,9
11550,10866,9,9
11550,15819,9,9
11550,22899,9,9
11560,10722,9,9
11577,10072,9,9
11577,11030,9,9
11577,13884,9,9
11577,16035,9,9
11577,21519,9,9
11602,10883,9,9
11602,10968,9,9
11602,13908,9,9
11602,18491,9,9
11602,19638,9,9
11605,10899,9,9
11605,11162,9,9
11605,11411,9,9
11605,11918,9,9
11605,12368,9,9
11605,12479,9,9
11606,10768,9,9
11609,10791,9,9
11609,24257,9,9
11640,11509,9,9
11640,21373,9,9
11640,24121,9,9
11646,11187,9,9
11646,12399,9,9
11653,16328,9,9
11655,11133,9,9
11655,16245,9,9
11657,12704,9,9
11678,164835,9,9
11704,10380,9,9
11704,10534,9,9
11717,10312,9,9
11717,15958,9,9
11744,10342,9,9
11744,10555,9,9
11747,10826,9,9
11749,11623,9,9
11749,15798,9,9
11766,10568,9,9
11772,22546,9,9
11772,24669,9,9
11782,23158,9,9
11782,153836,9,9
11793,11704,9,9
11819,11550,9,9
11822,17285,9,9
11865,21519,9,9
11879,11550,9,9
11904,19884,9,9
11904,26387,9,9
11904,28228,9,9
11904,100541,9,9
11918,10999,9,9
11918,12118,9,9
11918,12510,9,9
11918,30530,9,9
11926,11602,9,9
11927,18286,9,9
11936,11282,9,9
11936,13464,9,9
11936,21718,9,9
11936,22729,9,9
11955,18579,9,9
11976,11226,9,9
12025,10342,9,9
12025,10682,9,9
12025,10691,9,9
12025,10991,9,9
12025,11425,9,9
12025,13157,9,9
12025,15105,9,9
12028,10415,9,9
12028,11529,9,9
12049,10523,9,9
12050,10118,9,9
12050,10445,9,9
12050,15034,9,9
12050,18774,9,9
12050,25892,9,9
12061,102868,9,9
12061,162539,9,9
12061,162543,9,9
12068,33414,9,9
12068,156928,9,9
12072,11562,9,9
12088,13013,9,9
12088,23224,9,9
12088,26944,9,9
12098,18168,9,9
12099,18440,9,9
12107,11530,9,9
12151,21866,9,9
12151,22899,9,9
12159,10541,9,9
12187,27472,9,9
12187,30470,9,9
12193,10999,9,9
12193,11052,9,9
12193,17592,9,9
12193,102123,9,9
12236,17742,9,9
12236,27023,9,9
12250,10854,9,9
12253,11918,9,9
12260,17910,9,9
12260,22729,9,9
12302,17881,9,9
12312,15050,9,9
12312,152391,9,9
12338,11509,9,9
12338,12515,9,9
12338,21808,9,9
12344,10534,9,9
12360,15338,9,9
12360,15370,9,9
12360,22778,9,9
12412,10562,9,9
12412,18983,9,9
12412,51546,9,9
12447,102019,9,9
12479,13163,9,9
12510,16458,9,9
12510,17201,9,9
12549,13241,9,9
12569,18230,9,9
12573,20199,9,9
12573,154207,9,9
12591,16824,9,9
12591,22834,9,9
12591,25264,9,9
12596,25836,9,9
12605,14767,9,9
12616,10125,9,9
12616,10685,9,9
12616,11316,9,9
12616,19719,9,9
12616,25862,9,9
12635,25897,9,9
12677,11655,9,9
12678,25836,9,9
12701,11375,9,9
12701,11926,9,9
12701,14596,9,9
12701,27610,9,9
12708,13383,9,9
12708,16883,9,9
12739,15158,9,9
12769,10415,9,9
12769,14154,9,9
12815,14941,9,9
12815,15649,9,9
12819,10235,9,9
12857,10235,9,9
12857,18496,9,9
12880,10460,9,9
12901,11709,9,9
12928,12639,9,9
13009,162543,9,9
13013,11822,9,9
13013,29035,9,9
13019,11530,9,9
13019,11749,9,9
13034,24257,9,9
13034,29131,9,9
13034,153995,9,9
13081,162833,9,9
13118,10590,9,9
13124,26488,9,9
13127,11288,9,9
13135,10523,9,9
13135,154304,9,9
13153,10604,9,9
13153,11013,9,9
13153,13073,9,9
13153,153995,9,9
13206,14379,9,9
13206,20370,9,9
13232,10134,9,9
13232,26238,9,9
13246,17651,9,9
13278,14154,9,9
13288,20462,9,9
13293,10169,9,9
13293,158109,9,9
13301,22538,9,9
13312,154207,9,9
13318,14588,9,9
13333,10604,9,9
13333,17653,9,9
13353,13497,9,9
13477,15286,9,9
13511,100855,9,9
13530,13812,9,9
13530,17284,9,9
13530,17633,9,9
13538,11223,9,9
13605,10206,9,9
13605,12447,9,9
13612,15357,9,9
13612,28915,9,9
13641,11766,9,9
13641,12857,9,9
13641,13163,9,9
13641,13399,9,9
13641,13500,9,9
13641,14783,9,9
13645,15292,9,9
13660,11368,9,9
13660,17207,9,9
13660,17967,9,9
13660,28173,9,9
13684,17116,9,9
13724,15687,9,9
13724,15881,9,9
13779,13253,9,9
