node_id,cell_type,region,x,y,z,side,cell_class,predicted_nt,coordinate_field
25897,IN11A027,VNC,0.6817113911462622,-0.024053327532358563,0.5686607517441771,R,intrinsic neuron,glutamate,position
25902,IN06A075,VNC,0.20719269077178862,-0.334675326693289,0.14011063287598863,R,intrinsic neuron,glutamate,position
25974,IN14A006,VNC,-0.24835060677160217,1.086475441676896,-0.5738723060428547,R,intrinsic neuron,glutamate,position
25995,IN06A066,VNC,-0.49583262116009136,0.5932485976661436,-0.08579020153207888,L,intrinsic neuron,gaba,position
26036,IN14A002,VNC,-0.24835060677160217,1.0742483335146138,-0.5736050468480507,R,intrinsic neuron,glutamate,position
26039,DNg07,descending,0.11926441568127788,1.923798498997778,-0.3467688052581693,R,descending neuron,acetylcholine,position
26083,IN04B042,VNC,-0.6871902046397439,-0.818815358080706,-0.21019935671333345,L,intrinsic neuron,acetylcholine,position
26114,AN06A047,VNC,0.4156548627188962,0.5732041580558448,-0.251090013518343,L,ascending neuron,gaba,position
26132,Sternotrochanter MN,motor,-0.5165452087574002,0.7429137467563746,0.6598629519710366,L,motor neuron,glutamate,position
26137,IN11A034,VNC,-0.42293767577730473,0.5999300775362432,0.1525381854343739,L,intrinsic neuron,acetylcholine,position
26177,AN16X047,VNC,0.25877371536895755,1.355939524838013,-0.4553428531472878,R,ascending neuron,glutamate,position
26230,IN14A002,VNC,-0.24835060677160217,1.0944264027223145,-0.5720014916792269,R,intrinsic neuron,glutamate,position
26231,IN06A075,VNC,-0.31536584986870114,-0.284163338875336,0.3025374085181099,L,intrinsic neuron,glutamate,position
26233,AN06A066,VNC,0.40670167969296267,0.5881038581661668,-0.251090013518343,L,ascending neuron,gaba,position
26238,IN04B036,VNC,0.029532141025840234,-1.7272293612194478,0.8788818621129015,R,intrinsic neuron,acetylcholine,position
26282,IN04B045,VNC,0.03193747377907609,-1.7272293612194478,0.8777460105349846,R,intrinsic neuron,acetylcholine,position
26285,DNg09,descending,0.14178100284351353,1.923798498997778,-0.3119582951349504,R,descending neuron,acetylcholine,position
26301,IN01B009,VNC,-0.754405892132946,-1.034627157884923,-0.06788383548021194,L,intrinsic neuron,gaba,position
26304,IN06A075,VNC,0.20211476607051293,-0.334675326693289,0.1321596718305701,R,intrinsic neuron,glutamate,position
26358,IN11A038,VNC,0.586767562192147,0.6104868157310005,0.0569262084932486,R,intrinsic neuron,acetylcholine,position
26365,IN08A038,VNC,0.31556629426480415,1.3651599670587504,-0.4553428531472878,R,intrinsic neuron,glutamate,position
26370,Acc. tr flexor MN,motor,0.7441164131329925,0.013496589337601193,-0.30360644529732583,R,motor neuron,glutamate,position
26377,DNxn117,descending,-0.16850692232391193,1.923798498997778,-0.3079494072128906,L,descending neuron,acetylcholine,position
